% Tweet data
% This example was copied from Witten and Frank's data mining book

@relation category

@attribute tweet string
@attribute sports {yes, no}

@data
'honestly think have do better atletico keeper madrid go way everytime', yes
'whatever happen dodger way play baseball play solid fundamental defense', yes
'cristiano nothing entire game will crown best world', yes
'ronaldo convert official score #uclfinal 1-1 real madrid win penalty 5-3', yes
'whatever happen dodger way play baseball play solid fundamental defense', yes
'absolute worst way lose match yet alone final rival #uclfinal', yes
'inter milan not make champions league least stadium make final #forzainter', yes
'mls commercial right now like run single baseball commercial world series be good', yes
'want work #longbeach california view latest opening #pharmaceutical #job #jobs #hiring #careerarc', no
'interest #sales #job near #santafesprings ca great fit #veterans #hiring #careerarc', no
'debate sanders easy plan destroy america open border bring wages tax kill growth', no
'yo skin get clearer ass get bigger niggas problem stress free', no
'yosemite always awe inspire little bit sadness leave valley already', no
'give thanks lord good mercy endure forever.have great day', no
'reason be sit shotgun hollywood tour bus time make friend driver guess', no
'fair enough lewis tasting day able write coherent note', no
'happy birthday evelyn love miss much hope enjoy day beautiful', no
'say last summer not summer really want get love face without makeup', no
'san diego great respect/appreciation mexican neighbor culture trump wall welcome #sdtrumprally', no
'know trashy first fursuit really want contribute #fursuitfriday', no
'daenerys targaryen spirit animal another one add favorite herione', no
'throwup coolest girl alive stellar interview w smile honey diet frozen yogurt still suck', no
'watch record betamax demand intertune just watch thank later #genius', no
'need really really good chinese food like right now', no
'inspire design idea new environmental research center student professor', no
'boyfriend better pray never make mad jolly rancher one really', no
'think mashed potato mash foot foot flavor free food divine', no
'want use new camera already still half roll leave one', no
'exciting check #beam progress ~ hr later #nasa slow steady win race celebrate win space', no
'visit phenomenal one miss #grandma #memorialday #familyfirst #family calvary', no
'unless hoe shit wont think really hoe will call hoe that just fuck around', no
'saturday lunch do proper spot texas double cheeseburger', no
'set mind kill next step look fierce enough make guy guy turn sexuality hope still power', no
'xbox one power supply break can not play rocket league', no
'memorial day weekend one two holiday weekend acceptable eat nothing bbq chicken drink beer three day straight', no
'sea move image greater one bring replenish fruit image firmament second good midst', no
'passenger say gun day play ignorant reason deliberately misquote', no
'soooo exhaust go grad night w sore throat now fever', no
'poolside nice quiet couple folk get tan laptop bear tan #amwriting', no
'huge factor climate change cause earthquake etc. world issue', no
'feel like wall fuck exactly would sound like two wall fuck great job song', no
'nice pivot still wrong thing fracking something anyone care environment', no
'world see one way look mirror see whole nother person', no
'x-men worth see mean great movie day future past first class better amazing moment though', no
'depend severity #depression severe always require med moderate often mild almost never', no
'today work organic garden excited start family project amazingly', no
'nurse educators advicates speak nurses educate advocate patient', no
'shot keeper leave yet dive right every single time get hint', no
'not mystique inject guard excess iron magneto escape be talk natural iron body', no
'make commitment year be let go dream easily #bringbacknashville', no
'morning see revelation possibility #trumporganization like #deukmajian #calottery restrict gun hillary', no
'one person really want will never happen fuck just much fuck', no
'feel like part issue nobody make content compelling enough ppl will want pay get though', no
'be #hiring click apply payroll administrator permanent consulting opportunity #accounting #irvine ca', no
'not understand legal team allow client sign business deal physician begin ed', no
'study fracking effect environment devastate promote situation', no
'tech support customer service prove delivery horrible product useless support #awful', no
'go run morning perfect weather playa vista ca #beach #spring', no
'corruption must stop delay vote whether public agree corruption unacceptable', no
